Close price,Exchange Date
"1,523",12-Oct-2012
"1,514",15-Oct-2012
"1,550",16-Oct-2012
"1,527",17-Oct-2012
"1,575",18-Oct-2012
"1,614",19-Oct-2012
"1,628",22-Oct-2012
"1,630",23-Oct-2012
"1,563",24-Oct-2012
"1,556",25-Oct-2012
"1,544",26-Oct-2012
"1,534",29-Oct-2012
"1,544",30-Oct-2012
"1,548",31-Oct-2012
"1,562",01-Nov-2012
"1,582",02-Nov-2012
"1,579",05-Nov-2012
"1,587",06-Nov-2012
"1,551",07-Nov-2012
"1,519",08-Nov-2012
"1,540",09-Nov-2012
"1,545",12-Nov-2012
"1,553",13-Nov-2012
"1,597",14-Nov-2012
"1,604",15-Nov-2012
"1,556",16-Nov-2012
"1,560",19-Nov-2012
"1,579",20-Nov-2012
"1,588",21-Nov-2012
"1,576",22-Nov-2012
"1,598",23-Nov-2012
"1,586",26-Nov-2012
"1,564",27-Nov-2012
"1,577",28-Nov-2012
"1,593",29-Nov-2012
"1,593",30-Nov-2012
"1,603",03-Dec-2012
"1,592",04-Dec-2012
"1,588",05-Dec-2012
"1,620",06-Dec-2012
"1,621",07-Dec-2012
"1,595",10-Dec-2012
"1,518",11-Dec-2012
"1,533",12-Dec-2012
"1,530",13-Dec-2012
"1,545",14-Dec-2012
"1,532",17-Dec-2012
"1,511",18-Dec-2012
"1,484",19-Dec-2012
"1,471",20-Dec-2012
"1,469",21-Dec-2012
"1,460",24-Dec-2012
"1,441",27-Dec-2012
"1,438",28-Dec-2012
"1,435",31-Dec-2012
"1,429",02-Jan-2013
"1,433",03-Jan-2013
"1,422",04-Jan-2013
"1,441",07-Jan-2013
"1,421",08-Jan-2013
"1,426",09-Jan-2013
"1,442",10-Jan-2013
"1,438",11-Jan-2013
"1,451",14-Jan-2013
"1,455",15-Jan-2013
"1,455",16-Jan-2013
"1,489",17-Jan-2013
"1,482",18-Jan-2013
"1,483",21-Jan-2013
"1,443",22-Jan-2013
"1,447",23-Jan-2013
"1,438",24-Jan-2013
"1,417",25-Jan-2013
"1,421",28-Jan-2013
"1,435",29-Jan-2013
"1,420",30-Jan-2013
"1,428",31-Jan-2013
"1,435",01-Feb-2013
"1,427",04-Feb-2013
"1,464",05-Feb-2013
